Sample-itemId0,Sample-itemCode0,Sample-itemName0
Sample-itemId1,Sample-itemCode1,Sample-itemName1
Sample-itemId2,Sample-itemCode2,Sample-itemName2
Sample-itemId3,Sample-itemCode3,Sample-itemName3
Sample-itemId4,Sample-itemCode4,Sample-itemName4
Sample-itemId5,Sample-itemCode5,Sample-itemName5
Sample-itemId6,Sample-itemCode6,Sample-itemName6
Sample-itemId7,Sample-itemCode7,Sample-itemName7
Sample-itemId8,Sample-itemCode8,Sample-itemName8
Sample-itemId9,Sample-itemCode9,Sample-itemName9
Sample-itemId10,Sample-itemCode10,Sample-itemName10
Sample-itemId11,Sample-itemCode11,Sample-itemName11
Sample-itemId12,Sample-itemCode12,Sample-itemName12
Sample-itemId13,Sample-itemCode13,Sample-itemName13
