Sample-relId0,Sample-relName0,Sample-relDesc0
Sample-relId1,Sample-relName1,Sample-relDesc1
Sample-relId2,Sample-relName2,Sample-relDesc2
Sample-relId3,Sample-relName3,Sample-relDesc3
Sample-relId4,Sample-relName4,Sample-relDesc4
Sample-relId5,Sample-relName5,Sample-relDesc5
Sample-relId6,Sample-relName6,Sample-relDesc6
Sample-relId7,Sample-relName7,Sample-relDesc7
Sample-relId8,Sample-relName8,Sample-relDesc8
Sample-relId9,Sample-relName9,Sample-relDesc9
Sample-relId10,Sample-relName10,Sample-relDesc10
Sample-relId11,Sample-relName11,Sample-relDesc11
Sample-relId12,Sample-relName12,Sample-relDesc12
Sample-relId13,Sample-relName13,Sample-relDesc13
